day,bus_route,total_ridership
2020-01-01,B1,6252
2020-01-01,B100,751
2020-01-01,B103,3934
2020-01-01,B11,4123
2020-01-01,B12,3641
2020-01-01,B13,1563
2020-01-01,B14,1452
2020-01-01,B15,7402
2020-01-01,B16,2148
2020-01-01,B17,2886
2020-01-01,B2,733
2020-01-01,B20,2074
2020-01-01,B24,709
2020-01-01,B25,2069
2020-01-01,B26,2621
2020-01-01,B3,5782
2020-01-01,B31,693
2020-01-01,B32,352
2020-01-01,B35,9137
2020-01-01,B36,3795
2020-01-01,B37,571
2020-01-01,B38,4699
2020-01-01,B39,109
2020-01-01,B4,1856
2020-01-01,B41,7960
2020-01-01,B42,839
2020-01-01,B43,3211
2020-01-01,B44,5952
2020-01-01,B44+,5038
2020-01-01,B45,1149
2020-01-01,B46,7294
2020-01-01,B46+,6421
2020-01-01,B47,2785
2020-01-01,B48,1145
2020-01-01,B49,2937
2020-01-01,B52,2867
2020-01-01,B54,2530
2020-01-01,B57,2045
2020-01-01,B6,13451
2020-01-01,B60,2050
2020-01-01,B61,2862
2020-01-01,B62,2521
2020-01-01,B63,4298
2020-01-01,B64,1859
2020-01-01,B65,1303
2020-01-01,B67,925
2020-01-01,B68,4643
2020-01-01,B69,955
2020-01-01,B7,1357
2020-01-01,B70,2885
2020-01-01,B74,1339
2020-01-01,B8,6662
2020-01-01,B82,8618
2020-01-01,B82+,1
2020-01-01,B83,2215
2020-01-01,B84,149
2020-01-01,B9,5361
2020-01-01,BX1,4715
2020-01-01,BX10,2656
2020-01-01,BX11,3463
2020-01-01,BX12,3052
2020-01-01,BX12+,10386
2020-01-01,BX13,3859
2020-01-01,BX15,7748
2020-01-01,BX16,1398
2020-01-01,BX17,2233
2020-01-01,BX18,260
2020-01-01,BX19,7352
2020-01-01,BX2,4588
2020-01-01,BX20,92
2020-01-01,BX21,3124
2020-01-01,BX22,4141
2020-01-01,BX23,833
2020-01-01,BX24,173
2020-01-01,BX26,1500
2020-01-01,BX27,1730
2020-01-01,BX28,2743
2020-01-01,BX29,910
2020-01-01,BX3,3367
2020-01-01,BX30,2541
2020-01-01,BX31,2095
2020-01-01,BX32,810
2020-01-01,BX33,292
2020-01-01,BX34,519
2020-01-01,BX35,4093
2020-01-01,BX36,7856
2020-01-01,BX38,2145
2020-01-01,BX39,4898
2020-01-01,BX4,1168
2020-01-01,BX40,3877
2020-01-01,BX41,3193
2020-01-01,BX41+,3745
2020-01-01,BX42,2646
2020-01-01,BX46,88
2020-01-01,BX4A,1170
2020-01-01,BX5,2807
2020-01-01,BX6,3300
2020-01-01,BX6+,3681
2020-01-01,BX7,3909
2020-01-01,BX8,892
2020-01-01,BX9,8380
2020-01-01,BXM1,214
2020-01-01,BXM10,334
2020-01-01,BXM11,211
2020-01-01,BXM2,168
2020-01-01,BXM3,98
2020-01-01,BXM4,82
2020-01-01,BXM6,144
2020-01-01,BXM7,716
2020-01-01,BXM8,216
2020-01-01,BXM9,321
2020-01-01,M1,3280
2020-01-01,M10,2797
2020-01-01,M100,4203
2020-01-01,M101,7144
2020-01-01,M102,4271
2020-01-01,M103,4099
2020-01-01,M104,5258
2020-01-01,M106,402
2020-01-01,M11,4144
2020-01-01,M116,3355
2020-01-01,M12,420
2020-01-01,M14A+,6167
2020-01-01,M14D+,7438
2020-01-01,M15,7095
2020-01-01,M15+,9275
2020-01-01,M2,2719
2020-01-01,M20,714
2020-01-01,M21,510
2020-01-01,M22,541
2020-01-01,M23+,3328
2020-01-01,M3,4391
2020-01-01,M31,2386
2020-01-01,M34+,2213
2020-01-01,M34A+,2020
2020-01-01,M35,438
2020-01-01,M4,3417
2020-01-01,M42,2869
2020-01-01,M5,2737
2020-01-01,M50,412
2020-01-01,M55,836
2020-01-01,M57,2050
2020-01-01,M60+,6186
2020-01-01,M66,2540
2020-01-01,M7,4898
2020-01-01,M72,975
2020-01-01,M79+,3426
2020-01-01,M8,537
2020-01-01,M86+,6302
2020-01-01,M9,1540
2020-01-01,M96,3318
2020-01-01,M98,125
2020-01-01,Q06,3704
2020-01-01,Q07,1312
2020-01-01,Q08,3126
2020-01-01,Q09,1112
2020-01-01,Q1,1155
2020-01-01,Q10,8583
2020-01-01,Q100,1242
2020-01-01,Q101,960
2020-01-01,Q102,848
2020-01-01,Q103,408
2020-01-01,Q104,534
2020-01-01,Q11,872
2020-01-01,Q110,1342
2020-01-01,Q111,4053
