day,bus_route,total_ridership
2023-01-01,B1,4751
2023-01-01,B100,497
2023-01-01,B103,2307
2023-01-01,B11,2696
2023-01-01,B12,2095
2023-01-01,B13,1154
2023-01-01,B14,826
2023-01-01,B15,4351
2023-01-01,B16,1401
2023-01-01,B17,1979
2023-01-01,B2,484
2023-01-01,B20,973
2023-01-01,B24,433
2023-01-01,B25,1498
2023-01-01,B26,1954
2023-01-01,B3,3598
2023-01-01,B31,505
2023-01-01,B32,201
2023-01-01,B35,5509
2023-01-01,B36,2229
2023-01-01,B37,393
2023-01-01,B38,3659
2023-01-01,B39,66
2023-01-01,B4,1401
2023-01-01,B41,5257
2023-01-01,B42,395
2023-01-01,B43,1811
2023-01-01,B44,3920
2023-01-01,B44+,2416
2023-01-01,B45,828
2023-01-01,B46,4512
2023-01-01,B46+,2667
2023-01-01,B47,1391
2023-01-01,B48,795
2023-01-01,B49,2150
2023-01-01,B52,2159
2023-01-01,B54,1508
2023-01-01,B57,1500
2023-01-01,B6,6796
2023-01-01,B60,1271
2023-01-01,B61,1983
2023-01-01,B62,2088
2023-01-01,B63,2739
2023-01-01,B64,1415
2023-01-01,B65,946
2023-01-01,B67,529
2023-01-01,B68,3680
2023-01-01,B69,495
2023-01-01,B7,756
2023-01-01,B70,1919
2023-01-01,B74,515
2023-01-01,B8,3728
2023-01-01,B82,6123
2023-01-01,B82+,31
2023-01-01,B83,1149
2023-01-01,B84,54
2023-01-01,B9,3494
2023-01-01,BM1,5
2023-01-01,BX1,2170
2023-01-01,BX10,1769
2023-01-01,BX11,1724
2023-01-01,BX12,1580
2023-01-01,BX12+,4057
2023-01-01,BX13,1850
2023-01-01,BX15,1434
2023-01-01,BX16,792
2023-01-01,BX17,859
2023-01-01,BX18,340
2023-01-01,BX19,4160
2023-01-01,BX2,2140
2023-01-01,BX21,1415
2023-01-01,BX22,1574
2023-01-01,BX23,698
2023-01-01,BX24,131
2023-01-01,BX25,555
2023-01-01,BX26,688
2023-01-01,BX27,774
2023-01-01,BX28,1539
2023-01-01,BX29,383
2023-01-01,BX3,2413
2023-01-01,BX30,777
2023-01-01,BX31,1047
2023-01-01,BX32,413
2023-01-01,BX33,177
2023-01-01,BX34,320
2023-01-01,BX35,1861
2023-01-01,BX36,3012
2023-01-01,BX38,989
2023-01-01,BX39,2135
2023-01-01,BX4,744
2023-01-01,BX40,1323
2023-01-01,BX41,1211
2023-01-01,BX41+,1190
2023-01-01,BX42,1304
2023-01-01,BX46,24
2023-01-01,BX4A,493
2023-01-01,BX5,1270
2023-01-01,BX6,1334
2023-01-01,BX6+,1559
2023-01-01,BX7,2829
2023-01-01,BX8,510
2023-01-01,BX9,4269
2023-01-01,BXM1,261
2023-01-01,BXM10,308
2023-01-01,BXM11,207
2023-01-01,BXM2,183
2023-01-01,BXM3,135
2023-01-01,BXM4,72
2023-01-01,BXM6,210
2023-01-01,BXM7,691
2023-01-01,BXM8,291
2023-01-01,BXM9,278
2023-01-01,M1,2924
2023-01-01,M10,1758
2023-01-01,M100,1539
2023-01-01,M101,4982
2023-01-01,M102,3431
2023-01-01,M103,3022
2023-01-01,M104,2967
2023-01-01,M106,204
2023-01-01,M11,3310
2023-01-01,M116,1456
2023-01-01,M12,612
2023-01-01,M125,1925
2023-01-01,M14A+,1709
2023-01-01,M14D+,3093
2023-01-01,M15,6571
2023-01-01,M15+,6892
2023-01-01,M2,2567
2023-01-01,M20,879
2023-01-01,M21,258
2023-01-01,M22,423
2023-01-01,M23+,2371
2023-01-01,M3,3553
2023-01-01,M31,2129
2023-01-01,M34+,1296
2023-01-01,M34A+,1271
2023-01-01,M35,28
2023-01-01,M4,3611
2023-01-01,M42,1981
2023-01-01,M5,2071
2023-01-01,M50,300
2023-01-01,M55,934
2023-01-01,M57,1433
2023-01-01,M60+,3653
2023-01-01,M66,1258
2023-01-01,M7,3649
2023-01-01,M72,716
2023-01-01,M79+,2673
2023-01-01,M8,220
2023-01-01,M86+,4091
2023-01-01,M9,1353
2023-01-01,M96,2335
2023-01-01,Q06,2532
2023-01-01,Q07,770
2023-01-01,Q08,2216
2023-01-01,Q09,705
2023-01-01,Q1,739
2023-01-01,Q10,5597
2023-01-01,Q100,954
2023-01-01,Q101,693
2023-01-01,Q102,688
2023-01-01,Q103,231
2023-01-01,Q104,505
2023-01-01,Q11,547
2023-01-01,Q110,987
2023-01-01,Q111,2774
2023-01-01,Q112,683
2023-01-01,Q113,396
2023-01-01,Q114,1712
2023-01-01,Q12,2649
2023-01-01,Q13,2001
2023-01-01,Q15,510
2023-01-01,Q15A,458
2023-01-01,Q16,892
2023-01-01,Q17,4626
2023-01-01,Q18,1718
2023-01-01,Q19,723
2023-01-01,Q2,1110
2023-01-01,Q20A,2960
2023-01-01,Q20B,53
2023-01-01,Q21,729
2023-01-01,Q22,1393
2023-01-01,Q23,4188
2023-01-01,Q24,1234
2023-01-01,Q25,5284
2023-01-01,Q27,5417
2023-01-01,Q28,2461
2023-01-01,Q29,1357
2023-01-01,Q3,2729
2023-01-01,Q30,1088
2023-01-01,Q31,324
2023-01-01,Q32,2625
2023-01-01,Q33,1923
2023-01-01,Q34,2
2023-01-01,Q35,833
2023-01-01,Q36,1080
2023-01-01,Q37,1709
2023-01-01,Q38,1201
2023-01-01,Q39,438
2023-01-01,Q4,1721
2023-01-01,Q40,907
2023-01-01,Q41,795
2023-01-01,Q43,2933
2023-01-01,Q44+,6597
2023-01-01,Q46,3494
2023-01-01,Q47,1613
2023-01-01,Q48,909
2023-01-01,Q49,2023
2023-01-01,Q5,2407
2023-01-01,Q50,653
2023-01-01,Q52+,873
2023-01-01,Q53+,4395
2023-01-01,Q54,2014
2023-01-01,Q55,1366
2023-01-01,Q56,1377
2023-01-01,Q58,7965
2023-01-01,Q59,1485
2023-01-01,Q60,3938
2023-01-01,Q64,1625
2023-01-01,Q65,5444
2023-01-01,Q66,3785
2023-01-01,Q67,99
2023-01-01,Q69,1942
2023-01-01,Q70+,130
2023-01-01,Q72,1182
2023-01-01,Q76,631
