"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-01","17.67",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","42",",,W","34",",,W","  290",",,W","  290",",,W","28.0",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-02","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","48",",,W","31",",,W","  190",",,W","  190",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-03","6.49",",,W",,,"0.13",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","48",",,W","42",",,W","  240",",,W","  250",",,W","13.0",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-04","8.28",",,W",,,"0.16",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","47","H,,S","51",",,W","43",",,W","  330",",,W","  320",",,W","25.9",",,W","35.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-05","21.47",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","41","H,,S","49",",,W","35",",,W","  310",",,W","  300",",,W","38.0",",,W","51.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-06","13.87",",,W",,,"0.03",",,W,2400","0.3",",,W,2400","0.0","T,,W,2400","38","H,,S","45",",,W","32",",,W","  290",",,W","  300",",,W","21.9",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-07","8.50",",,W",,,"0.03",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","44",",,W","35",",,W","  250",",,W","   90",",,W","16.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-08","20.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","43",",,W","28",",,W","  310",",,W","  310",",,W","31.1",",,W","40.0",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-09","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","29","H,,S","34",",,W","24",",,W","  300",",,W","  320",",,W","28.0",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-10","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","39","H,,S","51",",,W","32",",,W","  230",",,W","  230",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2020-01-11","17.90",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","50","H,,S","57",",,W","46",",,W","  190",",,W","  190",",,W","29.1",",,W","38.0",",,W","    1",",,W",,,,,,,,,,,,,,
