STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,LATITUDE,LONGITUDE,ELEVATION,AWND_ATTRIBUTES,PGTM_ATTRIBUTES,PRCP_ATTRIBUTES,SNOW_ATTRIBUTES,SNWD_ATTRIBUTES,TAVG_ATTRIBUTES,TMAX_ATTRIBUTES,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2_ATTRIBUTES,WDF5_ATTRIBUTES,WSF2_ATTRIBUTES,WSF5_ATTRIBUTES,WT01_ATTRIBUTES,WT02_ATTRIBUTES,WT03_ATTRIBUTES,WT04_ATTRIBUTES,WT05_ATTRIBUTES,WT06_ATTRIBUTES,WT08_ATTRIBUTES
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-01,17.67,,0.0,0.0,0.0,40,42.0,34.0,290,290,28.0,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-02,9.62,,0.0,0.0,0.0,38,48.0,31.0,190,190,16.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-03,6.49,,0.13,0.0,0.0,44,48.0,42.0,240,250,13.0,16.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-04,8.28,,0.16,0.0,0.0,47,51.0,43.0,330,320,25.9,35.1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-05,21.47,,0.0,0.0,0.0,41,49.0,35.0,310,300,38.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-06,13.87,,0.03,0.3,0.0,38,45.0,32.0,290,300,21.9,23.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-07,8.5,,0.03,0.0,0.0,40,44.0,35.0,250,90,16.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-08,20.8,,0.0,0.0,0.0,37,43.0,28.0,310,310,31.1,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-09,11.18,,0.0,0.0,0.0,29,34.0,24.0,300,320,28.0,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2020-01-10,7.83,,0.0,0.0,0.0,39,51.0,32.0,230,230,15.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
