date;sum_total;sum_distancia;avg_distancia;awnd;prcp;snow;snwd;tmax;tmin
2022-11-29;75411;122792,26255568162;1,9398155251209557;1,3;0,0;0,0;0,0;6,7;2,2
2022-12-25;9164;12983,138525696617;1,5406596090775622;3,8;0,0;0,0;0,0;-2,1;-9,9
2023-02-25;43325;60596,382398655456;1,819383366320046;1,6;0,0;0,0;0,0;0,6;-4,9
2022-11-21;59696;94497,57800638564;1,8629389454191352;2,8;0,0;0,0;0,0;5,0;-2,7
2023-02-08;78636;117912,14783937919;2,0875318291795764;2,7;0,0;0,0;0,0;11,7;3,9
2022-12-09;76825;121288,41245497171;1,9029812422331447;3,0;0,0;0,0;0,0;7,2;2,2
2023-03-12;56572;84228,1593344498;2,0180209721225215;1,9;0,0;0,0;0,0;8,9;1,1
2022-12-02;74951;120554,06586169692;1,8983397505975421;1,7;0,0;0,0;0,0;8,3;0,0
2023-03-24;77837;108598,52767823495;1,9643398331958932;2,3;0,0;0,0;0,0;12,8;6,7
2022-12-20;58639;93079,16733163857;1,8278772894159414;2,5;0,0;0,0;0,0;3,9;-1,0
2023-01-01;50642;74900,09206600724;2,1142092772745995;2,2;0,0;0,0;0,0;12,8;9,4
2022-11-20;45018;70902,75071546512;1,8171805503989216;4,3;0,0;0,0;0,0;4,4;-1,0
2022-12-11;32718;51125,264602025345;1,735648581003033;3,6;8,1;0,0;0,0;4,4;0,6
2022-12-12;59960;94297,05086798553;1,8257991919760204;2,6;0,3;0,0;0,0;3,3;-2,1
2023-03-04;56830;84004,0734488121;1,977776367867686;3,6;25,1;0,0;0,0;7,2;3,3
2022-12-28;44031;71097,52928113827;1,8404268406496924;2,3;0,0;0,0;0,0;8,3;0,6
2022-12-19;54328;84351,64126454522;1,7835590405663555;3,4;0,0;0,0;0,0;3,9;-0,5
2022-12-29;51674;84751,41237213228;1,9058966531468085;2,7;0,0;0,0;0,0;10,6;4,4
2023-02-16;74622;115314,17731818809;2,111903910446286;1,6;1,8;0,0;0,0;21,1;13,3
2023-01-02;58241;83386,45197358707;2,019922774419531;1,6;0,5;0,0;0,0;13,3;9,4
2022-11-01;103775;169969,59287165405;2,1416459965683945;1,7;2,0;0,0;0,0;19,4;15,0
2022-12-08;89347;145393,80252097308;1,9952764896042636;2,1;0,0;0,0;0,0;12,8;5,6
2023-01-28;66819;95572,09815481122;2,02414643669119;3,2;0,0;0,0;0,0;11,1;2,2
2022-12-06;52639;85682,15215970424;1,8693200139563715;2,3;26,7;0,0;0,0;14,4;5,6
2023-01-11;67100;95979,65574978899;1,966715621281689;2,9;0,0;0,0;0,0;3,9;1,7
2022-11-23;73869;120027,01210916655;1,9636642253315646;2,0;0,0;0,0;0,0;12,8;5,6
2022-11-10;109046;177942,24900376177;2,1354436564391532;1,3;0,0;0,0;0,0;18,9;8,3
2022-12-26;19221;27217,698293562396;1,5504242833131527;3,2;0,0;0,0;0,0;-1,6;-7,7
2022-12-17;59369;96240,51708008438;1,8841503764773073;3,6;0,0;0,0;0,0;6,7;2,2
2022-12-05;73891;119215,9629475769;1,9282496514019491;1,3;0,0;0,0;0,0;8,9;2,2
2023-02-18;52125;75346,78468334691;1,9496153565178904;3,7;0,0;0,0;0,0;6,1;-2,7
2022-12-10;63441;100539,52737422264;1,8782955774510555;3,2;0,0;0,0;0,0;3,9;0,0
2022-12-04;62606;101820,02328041798;1,935226808081841;2,2;0,0;0,0;0,0;7,2;3,3
2023-02-01;60429;84020,47951560034;1,8949565735718068;2,5;0,5;10,0;0,0;3,3;-3,2
2022-11-28;73068;121358,23560260666;1,9663982695347504;3,3;0,0;0,0;0,0;12,2;5,0
2023-03-25;33016;46500,01850440894;1,7616312511141436;3,6;3,8;0,0;0,0;8,3;5,6
2022-11-22;74006;120466,71335824621;1,9643340348989224;2,4;0,0;0,0;0,0;10,6;2,8
2022-11-24;37888;62177,47070997959;1,9330184265988806;1,7;0,0;0,0;0,0;12,2;4,4
2023-01-12;51491;75172,87951763993;1,9092009833301145;2,2;7,6;0,0;0,0;12,8;2,8
2023-02-15;89040;139867,72032542233;2,206011077163893;2,0;0,0;0,0;0,0;19,4;8,3
2022-12-21;59180;93727,59386437139;1,832227423797701;0,7;0,0;0,0;0,0;4,4;-2,7
2023-01-25;41868;60534,09925881479;1,8514221696481157;2,7;22,9;0,0;0,0;12,2;1,7
2023-01-21;58192;83625,984088007;1,9665134412229746;2,5;0,0;0,0;0,0;5,6;2,8
2023-02-10;83968;125743,28592676518;2,109468132778023;3,8;0,0;0,0;0,0;16,1;7,2
2023-02-14;78221;115927,71118373545;2,0709882841834224;2,5;0,0;0,0;0,0;12,2;4,4
2023-03-26;88017;133455,4910639362;2,255878075422779;2,7;0,0;0,0;0,0;17,2;6,7
2023-02-05;49842;72747,7516398682;1,946323986405228;1,6;0,0;0,0;0,0;9,4;-2,7
2022-11-04;118788;187192,2119782813;2,169288137698527;0,9;0,0;0,0;0,0;21,1;11,7
2022-11-14;73998;114409,66866330276;1,9144857540713314;2,8;0,0;0,0;0,0;7,2;2,8
2022-11-07;107226;171198,64965372602;2,147337752473798;2,7;0,0;0,0;0,0;25,0;12,2
2023-01-26;64439;93588,59164246888;1,9757350090242327;4,0;11,2;0,0;0,0;13,9;5,0
2023-01-05;71440;107149,02428722334;2,060280813875504;2,3;0,3;0,0;0,0;10,0;6,7
2023-02-06;64834;95627,62774904554;1,9917028252566085;2,2;0,0;0,0;0,0;11,1;1,1
2022-10-26;112685;179281,6465048352;2,1520081444361976;1,3;0,0;0,0;0,0;22,2;15,6
2023-02-02;63159;88439,65406958522;1,9144854220063907;2,2;0,0;0,0;0,0;4,4;-1,6
2023-02-19;51309;76661,43671494724;2,0109500213773472;1,5;0,0;0,0;0,0;10,0;2,8
2023-03-17;83168;119834,14310340947;2,0607054461309926;1,5;0,0;0,0;0,0;15,6;8,3
2023-03-20;68951;99987,10130996624;1,992171773460176;2,2;0,0;0,0;0,0;10,6;-0,5
2022-12-27;33044;50761,60990721508;1,706100558169431;2,5;0,0;0,0;0,0;1,7;-1,6
