day,bus_route,total_ridership
2021-01-01,B1,2762
2021-01-01,B100,453
2021-01-01,B103,2151
2021-01-01,B11,2109
2021-01-01,B12,2111
2021-01-01,B13,931
2021-01-01,B14,871
2021-01-01,B15,3900
2021-01-01,B16,783
2021-01-01,B17,1877
2021-01-01,B2,291
2021-01-01,B20,982
2021-01-01,B24,348
2021-01-01,B25,1262
2021-01-01,B26,1309
2021-01-01,B3,2650
2021-01-01,B31,324
2021-01-01,B32,73
2021-01-01,B35,5374
2021-01-01,B36,2088
2021-01-01,B37,275
2021-01-01,B38,2040
2021-01-01,B39,46
2021-01-01,B4,728
2021-01-01,B41,4251
2021-01-01,B42,478
2021-01-01,B43,1230
2021-01-01,B44,3907
2021-01-01,B44+,2691
2021-01-01,B45,704
2021-01-01,B46,4339
2021-01-01,B46+,3020
2021-01-01,B47,1561
2021-01-01,B48,402
2021-01-01,B49,1717
2021-01-01,B52,1594
2021-01-01,B54,1369
2021-01-01,B57,1012
2021-01-01,B6,6802
2021-01-01,B60,1149
2021-01-01,B61,1336
2021-01-01,B62,943
2021-01-01,B63,1700
2021-01-01,B64,863
2021-01-01,B65,596
2021-01-01,B67,267
2021-01-01,B68,2679
2021-01-01,B69,302
2021-01-01,B7,811
2021-01-01,B70,925
2021-01-01,B74,529
2021-01-01,B8,3411
2021-01-01,B82,5828
2021-01-01,B83,1286
2021-01-01,B84,47
2021-01-01,B9,2722
2021-01-01,B99,183
2021-01-01,BM2,16
2021-01-01,BX1,2885
2021-01-01,BX10,1625
2021-01-01,BX11,1690
2021-01-01,BX12,1789
2021-01-01,BX12+,5050
2021-01-01,BX13,1920
2021-01-01,BX15,3967
2021-01-01,BX16,941
2021-01-01,BX17,1391
2021-01-01,BX18,174
2021-01-01,BX19,4504
2021-01-01,BX2,2657
2021-01-01,BX21,1718
2021-01-01,BX22,1892
2021-01-01,BX23,448
2021-01-01,BX24,116
2021-01-01,BX26,1215
2021-01-01,BX27,958
2021-01-01,BX28,1816
2021-01-01,BX29,495
2021-01-01,BX3,2142
2021-01-01,BX30,1450
2021-01-01,BX31,1227
2021-01-01,BX32,596
2021-01-01,BX33,197
2021-01-01,BX34,449
2021-01-01,BX35,2354
2021-01-01,BX36,3430
2021-01-01,BX38,993
2021-01-01,BX39,2735
2021-01-01,BX4,894
2021-01-01,BX40,1768
2021-01-01,BX41,1890
2021-01-01,BX41+,2103
2021-01-01,BX42,1581
2021-01-01,BX46,50
2021-01-01,BX4A,850
2021-01-01,BX5,1786
2021-01-01,BX6,1626
2021-01-01,BX6+,1864
2021-01-01,BX7,2453
2021-01-01,BX8,580
2021-01-01,BX9,4683
2021-01-01,BX99,190
2021-01-01,BXM1,113
2021-01-01,BXM10,127
2021-01-01,BXM11,122
2021-01-01,BXM2,78
2021-01-01,BXM3,47
2021-01-01,BXM4,60
2021-01-01,BXM6,112
2021-01-01,BXM7,419
2021-01-01,BXM8,98
2021-01-01,BXM9,165
2021-01-01,M1,789
2021-01-01,M10,1048
2021-01-01,M100,2229
2021-01-01,M101,3849
2021-01-01,M102,2074
2021-01-01,M103,1533
2021-01-01,M104,1812
2021-01-01,M106,156
2021-01-01,M11,1424
2021-01-01,M116,1461
2021-01-01,M12,136
2021-01-01,M14A+,1766
2021-01-01,M14D+,1987
2021-01-01,M15,2901
2021-01-01,M15+,3408
2021-01-01,M2,1339
2021-01-01,M20,293
2021-01-01,M21,134
2021-01-01,M22,219
2021-01-01,M23+,1006
2021-01-01,M3,2179
2021-01-01,M31,1002
2021-01-01,M34+,731
2021-01-01,M34A+,812
2021-01-01,M35,97
2021-01-01,M4,2060
2021-01-01,M42,897
2021-01-01,M5,1569
2021-01-01,M50,157
2021-01-01,M55,302
2021-01-01,M57,696
2021-01-01,M60+,2545
2021-01-01,M66,652
2021-01-01,M7,2074
2021-01-01,M72,343
2021-01-01,M79+,1123
2021-01-01,M8,99
2021-01-01,M86+,2017
2021-01-01,M9,606
2021-01-01,M96,1534
2021-01-01,M99,123
2021-01-01,Q06,1901
2021-01-01,Q07,653
2021-01-01,Q08,1885
2021-01-01,Q09,643
2021-01-01,Q1,473
2021-01-01,Q10,3871
2021-01-01,Q100,565
2021-01-01,Q101,422
2021-01-01,Q102,443
2021-01-01,Q103,144
2021-01-01,Q104,268
2021-01-01,Q11,375
2021-01-01,Q110,897
2021-01-01,Q111,2197
2021-01-01,Q112,728
2021-01-01,Q113,390
2021-01-01,Q114,1698
